항공사(영문명),항공사(한글명),항공사코드(IATA),항공사코드(ICAO),항공사상태
Bristow Helicopters (Nig) Limited,나이지리아 브리스토헬리콥터,,BHN,Grounded
Bristow Helicopters Group Ltd.,브리스토헬리콥터 그룹,,BHL,Grounded
Bristow Masayu Helicopters P.T.,브리스토우 마사유 헬리콥터,,BMH,Grounded
Bristow U.S. LLC,브리우토우 유에스,L9,BTZ,Grounded
Britannia Airways Ltd.,브리타니아 항공,BY,BAL,Grounded
British Airways,영국항공,BA,BAW,Active
British Airways Santa,브리티쉬 에어웨이 산타,,XMS,Grounded
British Airways Shuttle,브리티쉬 에어웨이 셔틀,,SHT,Grounded
British Antarctic Survey,브리티쉬 앤트악틱 서베이,,BAN,Grounded
British Caribbean Airways,브리티쉬 카리브 에어웨이,,BCL,Grounded
British Charter,브리티쉬 챠터,,BCR,Grounded
British Eagle LTD,브리티쉬 이글,,JBL,Grounded
British Gulf International Airlines,영국 걸프 국제항공,,BGI,Grounded
"British Gulf International Airlines -Fez , Bishkek",브리티쉬걸프국제항공 비슈케크,,BGK,Grounded
British International Helicopters,영국 국제 헬리콥터,BS,BIH,Active
British Medical Charter,브리티쉬 메디컬l 챠터,,BMD,Grounded
British Mediterranean Airways Ltd,브리티쉬지중해항공,KJ,LAJ,Grounded
British Midland Airways Ltd.,영국미들랜드항공,BD,BMA,Grounded
British North West Airlines Ltd,브리티쉬 노스 웨스트 에어라인,,BNW,Grounded
British Petroleum Exploration,영국석유탐사,,BPX,Grounded
British Regional Airlines Ltd,브리티쉬 리지널 에어라인,,BRT,Grounded
British Sky Broadcasting Ltd,브리티쉬 스카이 방송,,SKH,Grounded
Broadland Balloon Flights,브로드랜드 발룬 플라이트,,HOT,Grounded
Brock Air Services Ltd.,브록 에어서비스.,,BRD,Grounded
Brussels Airlines,브뤼셀 에어라인,SN,BEL,Active
Brussels Airlines Fly,브뤼셀 에어라인 플라이,TV,,Active
Brussels International Airlines,브뤼셀 인터내셔널 에어라인,,BXI,Grounded
BT-Slavuta,BT 슬라부타,,BTT,Grounded
Budapest Aircraft Service,부다페스트 에어크래프트 서비스,RP,BPS,Active
Buddha Air,부다에어,U4,BHA,Active
Budget Air Bangladesh Ltd,버젯에어방글라데시,,BGR,Grounded
Buffalo Airways,버팔로 항공,J4,BFL,Active
Buffalo Airways,버펄로  에어웨이,,BVA,Grounded
Buffalo Express Airlines,버펄로 익스프레스 에어라인,,BRX,Grounded
Bukovyna Airlines,부코비나에어라인,BQ,BKV,Active
Bul Air,불 항공,LB,BVL,Active
Bulgaria Air,불가리아 에어,FB,LZB,Active
Bulgarian Aeronautical Centre,불가리아 에에로노티컬 센터,,BVC,Grounded
Bulgarian Air Charter,불가리아 에어 챠터,H6,BUC,Grounded
Bundepolizei-Fliegergruppe,독일연방경찰비행그룹,,BPO,Grounded
"Bundled Aerial Mapping Assts, Llc ",번들 에어리엘 맵핑 어시스트,,BMP,Grounded
Bunk Ltd,벙크,,BKK,Grounded
Buquebus - Los Cipreses S.A.,부케버스 - 로스 사이프레스,,BOB,Failed startup
Buraq Air,부라키 에어,UZ,BRQ,Active
Bureau Veritas S.A.,뷔로 베리타스,,XDA,Grounded
Burkina Airlines,부르키나항공,,BFR,Grounded
Burundaiavia,부룬다아비아,,IVR,Grounded
Burundayavia Jsc,부룬데야비아 JSC,BA,BRY,Grounded
Buryat Airlines Aircompany,뷔르얏 에어라인 에어컴퍼니,,BUN,Grounded
Business Aero Llc,비즈니스 에어로,,KBS,Grounded
Business Air,비즈니스 에어,8B,,Grounded
"Business Air Co, Ltd",비즈니스 에어,8B,BCC,Grounded
Business Air Ltd,비즈니스 에어,,BEM,Grounded
Business Air Services (Toronto) Ltd.,비즈니스 에어서비스 (토론토),,BAM,Grounded
Business Airfreight,비즈니스 에어프레이트,,RLR,Grounded
Business Aviation Center Jsc,비즈니스에비에이션센터,,BCV,Active
Business Aviation Centre,비즈니스에비에이션센터,UQ,,Active
Business Express Delivery Ltd.,비즈니스 익스프레스 딜리버리,,EXP,Grounded
Business Flight Sweden Ab,비즈니스플라이트 스웨덴,,BFS,Grounded
Business Jet Solutions,비즈니스 제트 솔류션,,BJS,Grounded
Business Jet Sweden Kb,비즈니스제트 스웨덴,,SCJ,Grounded
Business Wings Luftfahrtunternehmen Gmbh,비즈니스 윙스 루프타르턴터네멘,,JMP,Grounded
Business-Express - Magna Air Luftfahrtgesellschaft M.B.H.,비즈니스 익스프레스,,BEX,Grounded
Buta Airways,부타항공,J2,AHY,Active
Butane Buzzard Aviation Corporation,부탄 버자드 항공주식회사,,BZZ,Grounded
Butte Aviation,뷰트 항공,,PPS,Grounded
Buzz,버즈,RR,RYS,Active
Buzz Aero,버즈에어로,F6,FXP,Active
Buzz Stansted Ltd,버즈 스텐스테드,,BUZ,Grounded
Buzzaway Limited,버즈어웨이,UK,UKA,Grounded
Bvg Viajes,Bvg 비아제스,,BVG,Grounded
BVI Airways,BVI 항공,XV,,Grounded
BWA (2002) Ltd,BWA (2002),VF,BWL,Grounded
"Bylina, Joint-Stock Company",빌리냐 JSC,,BYL,Grounded
C & M Airways,C & M 에어웨이,,RWG,Grounded
C And M Aviation,C & M 에비에이션,,TIP,Grounded
"C N Air , S.A.",C N 에어,,ORO,Grounded
C&L Corporation,C&L 코오퍼레이션,,CIJ,Grounded
C.A.I. (Compagnia Aeronautica Italiana) First S P.A,C.A.I. First SPA,XM,CPI,Grounded
C.A.I. Second S.p.A. ,CAI 세칸 ,VE,VLE,Grounded
"C.S.P., Societe",CSP,,RMU,Grounded
Caa Airworthiness Division,CAA 에어워스니스 디비전,,BBN,Grounded
CAA Directorate of Airspace Policy (IFP),영국민항청 항공우주과 (IFP),,AWX,Grounded
CAA Flight Examiners,영국민항청 비행시험소,,EXM,Grounded
Caa Flying Unit,영국민항청 비행단,,CFU,Grounded
CAA Training Standards,영국민항청 트레이닝 스탠다드,,SDS,Grounded
CABI,CABI,,CBI,Grounded
Cabo Verde Airlines,카페베르데에어라인스,VR,TCV,Active
Cabo Verde Express,카보베르데익스프레스,,CVE,Active
Cae Aviation,CAE 에비에이션,,LXC,Grounded
Caernarfon Airworld Ltd,캐어나폰 에어월드,,CWD,Grounded
CAI First,CAI 퍼스트 항공,XM,,Grounded
CAI Second,CAI 세컨드 항공,VE,,Grounded
Caicos Express Airways,카이코스익스프레스항공,9Q,CXE,Active
Cairo Aviation,카이로 항공,,CCE,Active
CAL Cargo Airlines,CAL - 카베이아비르레미타냉,5C,ICL,Active
Cal Gulf Aviation,칼걸프항공,,CGC,Grounded
California Pacific Airlines,캘리포니아 퍼시픽 항공,4A,DYN,Grounded
Calima Aviation,칼리마 에비에이션,3C,CMV,Active
Calm Air,캄 에어,MO,CAV,Active
Calstar,칼스타,,CMD,Grounded
Cam Air Management Ltd,캄에어 매니지먼트,,CMR,Grounded
Camair-Co,캄에어-코,QC,CRC,Active
Cambodia Airlines,캄보디아항공,Y6,KHM,Grounded
Cambodia Airways,캄보디라에어웨이,KR,KME,Active
Cambodia Angkor Air,캄보디아 앙코르 에어,K6,KHV,Active
Cambodia Bayon Airlines,캄보디아 바이욘 항공사,BD,BYC,Grounded
Cameroon Airlines,카메룬항공,UY,UYC,Grounded
Canada - Transport Canada,캐나다 트랜스포트캐나다,,TGO,Grounded
Canada Jet Charters Ltd,캐나다제트챠터,,PIL,Grounded
Canadian Airways Congo,캐나다항공콩고,,TWC,Active
Canadian Armed Forces,캐나다육군,,CFC,Grounded
Canadian Coast Guard,캐나다해안경비대,,CTG,Grounded
Canadian Global Air Ambulance Ltd,캐나다글로벌 에어 앰뷸런스,,BZD,Grounded
Canadian Helicopters Ltd,캐나디안헬리콥터,CP,CDN,Grounded
Canadian Interagency Forest Fire Centre,캐나다 인터에이젼시 산림방재센터,,TKR,Grounded
Canadian North,캐나다 북부항공,5T,MPE,Active
Canadian Regional Airlines,캐나디안 리지널,KI,CDR,Grounded
Canadian Warplane Heritage Museum,캐나다 워플레인헤리티지 뮤지엄,,CWH,Grounded
Canarias Aeronautica,카나리아 에로노틱스,,CAU,Grounded
Canarias Airlines,카나리아에어웨이,NT,RSC,Grounded
Canary Fly S.L.,캐너리 플라이,PM,CNF,Active
Cancun Air,칸쿤에어,,CUI,Grounded
Canjet Airlines,캔제트 에어라인,C6,CJA,Grounded
CanJet Airlines,캔제트 항공,C6,,Grounded
Cape Air,케이프항공,9K,KAP,Active
Cape Air Transport,케이프에어트랜스포트,,CTO,Grounded
Cape Central Airways,케이프센트럴 에어웨이,,SEM,Grounded
Cape Smythe Air,케이프스미스에어,,CMY,Grounded
Capital Air Service,캐피탈 에어서비스,,CPX,Grounded
Capital Aircraft Group,캐피탈 에어크래프트 그룹,,CGP,Grounded
Capital Airlines,캐피탈 에어라인,,CAP,Grounded
Capital Airlines Limited,케냐캐피탈항공,,CPD,Grounded
Capital Airlines Limited,캐피탈에어라인,,NCP,Grounded
Capital Cargo International,캐피탈 카고인터내셔널 항공,PT,,Grounded
Capital Cargo International Airlines,캐피탈 카고인터내셔널 에어라인,PT,CCI,Grounded
Capital City Air Carriers,캐피탈 시티 에어 캐리어,,CCQ,Grounded
Capital Trading Aviation Ltd,캐피탈 트레이딩 항공,,EGL,Grounded
Capitol Air Express,카피톨 에어 익스프레스,,CEX,Grounded
Capitol Wings Airline,카피톨 윙즈 에어라인,,CWZ,Grounded
Caravan Air,카라반에어,,VAN,Grounded
Cardiff Wales Flying Club,카디프 웨일스 비행클럽,,CWN,Grounded
Cardig Air,카딕 에어,8F,CAD,Active
Cardinal / Air Virginia,카디날 에어 버지니아,,FVA,Grounded
Cards Air Services,카드 항공서비스,,CDI,Grounded
Care Flight Pty Ltd,캐어 플라이트,,CFH,Grounded
Carga Aerea Dominicana,카르가 아레아 도미니카나,,CDM,Grounded
Carga Express Internacional,카르가 익스프레스 인터내셔널,,EST,Active
Cargo 360,카고360,GG,GGC,Grounded
Cargo Air (Bulgaria),카고 에어,,CGF,Active
Cargo Airline Of The State Concern Azerbaijan Hava Yollari,아젤바이잔항공화물,,AHC,Grounded
Cargo B Airlines N.V./S.A.,카고 B 에어라인,BB,CBB,Grounded
Cargo Express,모리타니아 카고익스프레스,,MCX,Grounded
Cargo Ivoire,카고아이보리,,CRV,Grounded
Cargo Link (Caribbean),카리브카고링크,,CLM,Grounded
Cargoitalia,카고이탈리아,2G,,Grounded
Cargoitalia S.p.A.,카고이탈리아,2G,CRG,Grounded
Cargojet Airways,카고제트,W8,CJT,Active
Cargolaar CC,카르골라,,GOL,Grounded
CargoLogicAir,카고로직에어,P3,CLU,Active
CargoLogicGermany,카고로직독일,,GCL,Active
Cargolux Airlines International,카고룩스,CV,CLX,Active
Cargolux Italia,카고룩스 이탈리아,C8,ICV,Active
Cargoman Limited,카고맨,,CGM,Grounded
Cargoplus Aviation,카고플러스,P4,,Active
Carib Aviation Ltd,카리브에비에이션,6C,DEL,Grounded
Carib Express,카리브익스프레스,,BCB,Grounded
"Caribair , S.A.",카리브에어,,CBC,Grounded
Caribbean Air Cargo,카리브에어카고,,DCC,Grounded
Caribbean Air Transport Co.,카리브에어트랜스포트,,CLT,Grounded
Caribbean Airlines ,카리브 에어라인,BW,BWA,Active
Caribbean Airways,카리브에어웨이,,IQQ,Grounded
Caribbean Express,카리브 익스프레스,,TLC,Grounded
Caribbean Star Airlines Limited,카리브스타에어라인,8B,GFI,Grounded
Caribintair S.A.,카리빈트에어,,CRT,Grounded
Caricom Airways,카리콤 항공,,CRB,Grounded
Carill Aviation Ltd,캐릴 항공,,CVG,Grounded
Carpatair,카르파트에어,V3,KRP,Active
Carpatair Flight Training,카팟에어 플라이트 트레이닝,,SMW,Grounded
Carranza,카란짜,,CRR,Grounded
Carroll Air Service,캐럴 에어서비스,,ULS,Grounded
Casement Aviation,케이스먼트 에비에이션,,CMT,Grounded
Casino Airlines,카지노 에어라인,,CSO,Grounded
"Casper Air Service,Inc.",카스퍼에어서비스,,CSP,Grounded
Caspian Airlines,카스피항공,RV,CPN,Active
Castle Aviation,캐슬 항공,,CSJ,Grounded
Cat Aviation Ag,캣에비에이션 AG,,CAZ,Grounded
CAT Helicopters S.L,CAT 헤리콥터,,HCT,Grounded
Cat Island Air,캣아일랜드에어,,CIS,Grounded
CATA Lineas Aereas,CATA,,CTZ,Grounded
Catalina Flying Boats,카탈리나 플라잉보트,,CBT,Grounded
"Catex , Compagnie",카테스 콩파니,,TEX,Grounded
Cathay Dragon,케세이 드래곤,KA,HDA,Grounded
Cathay Pacific,캐세이퍼시픽항공,CX,CPA,Active
Caverton Helicopters Ltd,캐버튼헬리콥터,YC,CJR,Grounded
Cavok Air,CAVOK 항공,,CVK,Active
Cayman Airways,케이만항공,KX,CAY,Active
Ccat,시캣,,CBR,Grounded
Ccf Manager Airline Gmbh,Ccf 매지너 에어라인,,CCF,Grounded
Cebgo,세브고,DG,SRQ,Active
CEBU Pacific Air,세부퍼시픽항공,5J,CEB,Active
Cecil Aviation Ltd.,세실 항공,,CIL,Grounded
Cega Aviation Limited,세가 항공,,CEG,Grounded
Ceiba Intercontinental,세이바 인터콘티넨탈,C2,CEL,Active
Cello Aviation,첼로항공,,CLJ,Grounded
Celtic Airways Limited,셀틱 에어웨이,,CEC,Grounded
Celtic West Co Air Charter Limited,셀틱 웨스트 에어챠터,,CWE,Grounded
Cemair,세메어,5Z,KEM,Active
Centavia,센타비아,7N,CNA,Grounded
Centennial Airlines,센테니얼에어라인,,CNL,Grounded
Center Private Wings Flugcharter GMBH,프라이빗 윙즈 항공챠터,8W,PWF,Grounded
Center South Airlines,센터 사우스 항공,,CTS,Active
Center Vol S.A.,센터 볼,,CVO,Grounded
Centeravia Llc,센트럴에비아,,CVI,Grounded
Centrafric'air S.A,센트아프릭 에어,,CFK,Grounded
Centrafrican Airlines,센트라아프리칸항공,,CET,Grounded
Centrai Asian Services,센트라이 아시안 서비스,,CBK,Grounded
Central Air Express,센트랄,,CAX,Grounded
Central Air Southwest,센터럴 에어 사우스웨스트,,CTL,Grounded
Central Airways,센트랄 에어웨이,,CEW,Grounded
Central Airways Corp,센트랄 에어웨이,,CEN,Grounded
Central Airways Limited,센트랄에어웨이,,CNY,Grounded
Central American Airwa Ys,센트럴 아메리칸 에어웨이,,CRW,Grounded
Central Aviation,센트랄 에비에이션,,YOG,Grounded
Central Charter Airlines Slovakia,센트럴 챠터 에어라인 슬로바키아,,CCS,Active
"Central Connect Airlines, A.S.",센트랄 코넥트 에어라인,3B,JBR,Grounded
Central De Discos De Reynosa,센트랄 데 이스코스 데 레이노사,,DRN,Grounded
Central European Airlines,센트랄 유러피언 에어라인,,CMA,Grounded
Central Flying Service,센트랄 플라잉서비스,,CHA,Grounded
Central Mountain Air,센터럴 마운틴에어,9M,GLR,Active
Central Skyport,센트랄 스카이포트,,CSI,Grounded
Centre Airlines,센트르 에어라인,,DTV,Grounded
Centre D'Essais En Vol,상트르 데세이즈 앙 볼,,CEV,Grounded
"Centre Of Applied Geodynamica, Industrial Enterprise",상트르 엔터프라이즈,,CGS,Grounded
Centre Pankh Kazakhstan,센터 판키 카자흐스탄,,MRB,Grounded
"Centre-Avia Airlines, Jsc","상테르아비아 에어라인, Jsc",J7,CVC,Grounded
Centro de Formacion Aeronautica de Canarias,센트로 데 포마시옹 아에로노티카 데 카나리아스,,ACF,Grounded
Centro De Helicopteros Corporativos,셀트로 데 헬리콥토스,,CCV,Grounded
Centurion Cargo,센튜리온 카고,WE,CWC,Grounded
Century Aviation,센츄리 에비에이션,,URY,Grounded
Certified Aircraft Dispatch,서티파이드 에어크래프트 디스패치,,XAD,Grounded
Cetraca Air Service,센트라카항공서비스,,CER,Grounded
Cetrafrrique Air Express (C.A.E.),센트아프리크 에어 익스프레스,6C,CAE,Grounded
CFA Air Charter,CFA 에어 챠터,,CFX,Grounded
Chabahar Airline,챠바하항공,,IRU,Grounded
Chair Airlines,채어 에어라인,GM,GSW,Active
Chalair Aviation,샬레항공,CE,CLG,Active
Challenge Aero Ukraine Llc,첼린지 에어로 우크라이나,,CLO,Grounded
Challenge Air Luftverkehrs Gmbh,챌린지에어항공,,CLS,Grounded
Challenge Airlines,첼린지에어,X7,CHG,Active
Challenge Aviation Pty. Ltd .,챌린지항공,,CHS,Grounded
Challenge International Airlines,챌린지인터내셔널에어라인,,OFF,Grounded
Cham Wings Airlines,쉠 윙에어라인,6Q,SAW,Grounded
Champlain Enterprises,챔플레인 엔터프라이즈.,C5,,Active
Chanchangi Airlines (Nigeria) Limited,찬창기이에어라인,5B,NCH,Grounded
Channel Island Aviation,채널아이랜드항공,,CHN,Grounded
Chantilly Air,챈틸리y 에어,,WML,Grounded
Chaparral Airlines,채퍼럴 에어라인,,CPL,Grounded
Chari Aviation Services,챠리항공서비스,,CSU,Grounded
Charlan Air Charter,샤를란에어챠터,,CAH,Grounded
Charlie Hammonds Flying Service,찰리 해먼즈 비행서비스,,HMD,Grounded
"Charlotte, Nc Air National Guard","샬롯, 노스캐롤라이나 항공경비대",,CGD,Grounded
Chartair,챠트에어,,CHW,Grounded
Chartair DBA Air San Juan,챠트에어 - 에어 산 후안,,SJN,Grounded
Charter Air Transport,차터 에어 트랜스포트,VC,,Grounded
Charters (South African Non Scheduled Airways (Pty) Ltd),챠터즈 (남아공부정기 항공),,SCS,Grounded
Chartright Air,챠트라이트 에어,,HRT,Grounded
Chautauqua Airlines,챠터쿠아 에어라인,RP,CHQ,Grounded
CHC Airways,CHC 항공,AW,SCH,Grounded
Chc Denmark Aps,CHC 덴마크,,HBI,Grounded
CHC Global Operations Canada,CHC 글로벌 오퍼레이터,,HMB,Grounded
CHC Helicopters (Australia),CHC 호주,,HEM,Grounded
CHC Helicopters (Nigeria),CHC 헬리콥터 나이지리아,,ATQ,Active
Chc Helicopters Netherlands,CHC 헬리콥터 네덜란드,,HNL,Grounded
CHC Helikopter Service A/S,CHC 헬리콥터 서비스,,HKS,Grounded
Chemech Aviation (Pvt) Limited,체머치항공,,CHM,Grounded
Chengdu Airlines ,청두항공,EU,UEA,Active
Cherlines,체르라인,,CHZ,Grounded
Cherokee Leasing DBA/ Cherokee Express,체로키리스 - 체로키익스프레스,,CBM,Grounded
Cherry Air,체리에어,,CCY,Grounded
Chesapeake Air Service,체서피크에어서비스,,CAB,Grounded
Chevron U.S.A.,쉐브론 U.S.A.,,CVR,Grounded
Cheyenne Airways,샤이엔 에어웨이,,CYA,Grounded
Chicago Air,시카고 에어,,CGO,Grounded
"Chief Of Staff, United States Air Force",미공군 작전사령부,,AIO,Grounded
Chief Rat Flight Services (Pty) Ltd,췹랏비행서비스,,RAT,Grounded
Chilchota Taxi Aereo,칠초타 택시 아에로,,CCH,Grounded
Chilejet,칠레젯,H8,,Grounded
Chim-Nir Aviation,침니르항공,,ETN,Grounded
China Air Cargo Corporation,차이나에어카고,ZY,CCO,Active
China Airlines,중화항공,CI,CAL,Active
China Cargo Airlines,중국화물항공,CK,CKK,Active
China Central Airlines,중국중앙항공,I9,HLF,Active
China Eastern Airlines,중국동방항공,MU,CES,Active
China Express Airlines,중국익스프레스항공,G5,HXA,Active
China Flying Dragon Aviation,차이나 플라잉드라곤항공,,CFA,Active
China Northwestern Cargo International Airlines,중국북서부화물국제항공,CO,CNW,Active
China Postal Airlines,차이나포스탈에어라인,CF,CYZ,Active
China Southern Airlines,중국남방항공,CZ,CSN,Active
China Southern Airlines Cargo,중국남방화물항공,CZ,CSG,Startup
China United Airlines,차이나통일항공,KN,CUA,Active
China Xinhua Airlines,중국신화항공,XW,CXH,Active
Chinguetti Airlines,칭게티에어라인,,CGU,Grounded
Chipola Aviation,치폴라 에비에이션,,CEP,Grounded
Chippewa Air Commuter,치파와 에어 커뮤터,,CPW,Grounded
Chongqing Airlines ,충칭항공,OQ,CQN,Active
Christian Konig-Century Airbirds,크리스티안 쾨니 센츄리 에어버드,,AID,Grounded
Christman Air System,크리스트먼 에어시스템,,CAS,Grounded
Christophorus Flugrettungsverein,크리스토퍼러스 비행구조협회,,OEC,Grounded
Chrome Air Services Ltd,크롬 에어서비스,,CHO,Grounded
Chrono Aviation,크로노에비에이션,,NDL,Active
Chukotavia,추코타비아,,ADZ,Active
Church Aircraft Ltd,쳐치 에어크래프트,,CHU,Grounded
Church Fenton Ftu,쳐치 펜튼 FTU,,CFN,Grounded
Cielos Airlines,시엘로스 에어라인,A2,CIU,Active
Cielos Airlines,시엘로스 항공,A2,,Active
Cimber A/S,킴버 A/S,QA,CIM,Active
Cinnamon Air,시나몬 에어,C7,CIN,Active
Cirrus Air,시러스 에어,,NTS,Grounded
Cirrus Airlines,사이러스항공,C9,,Grounded
Cirrus Airlines - Cirrus Luftfahrtgesellschaft Mbh,사이러스항공,C9,RUS,Grounded
Cirrus Middle East S.A.L.,시러스미들이스트,,JTI,Grounded
Cirrus S.A.,사이러스,,RRU,Grounded
"Citationshares, Llc",시테이션쉐어,,FIV,Grounded
"Citibank, N.A.","시티뱅크, N.A.",,XCX,Grounded
Citilink,시티링크 인도네시아,QG,CTV,Active
CI-Tours,CI투어,,VCI,Grounded
City Airline,시티 항공,CF,,Grounded
City Airline AB,시티 에어라인,CF,SDR,Grounded
City Airways,시티 에어웨이,E8,GTA,Grounded
City Airways Company Limited dba City Airways,시티 에어웨이 컴패니,E8,,Grounded
City Connexion Airlines,시티코넥션항공,,CIX,Grounded
Cityair (Chester) Limited,시티에어 (Chester),,CAQ,Grounded
Cityfly,시티플라이,,CII,Grounded
Cityjet,시티제트,WX,BCY,Active
Cityline Hungary,시티라인 헝가리,ZM,CNB,Grounded
Citylink Airlines,시티링크 에어라인,,HSR,Grounded
Citywing,시티윙,NM,,Grounded
Civair,시브에어,2I,CIW,Grounded
Civair Airways (Pty) Ltd T/A Redair,레드에어 (시베어 에어웨이),,FLV,Grounded
"Civil Air Patrol, South Carolina Wing","민간항공경비, 사우스캐롤라이나 윙",,BKR,Grounded
Civil Aviation Authority Of The Slovak Republic,슬로바키아민간항공청,,CIA,Grounded
Civil Aviation Inspectorate of the Czech Republic,체코민간항공점검소,,CBA,Grounded
CJSC Airlines 400,에어라인 400,WZ,VAZ,Active
Ckc Services,Ckc 서비스,,CKC,Grounded
Claessens International Ltd,클래센스 인터내셔널,,FMC,Grounded
Clark Aviation Corp.,클라크 에비에이션 코퍼레이션,,CLK,Grounded
Clasair,클라스에어,,CSF,Grounded
Classic Flight Training Services Ltd,클래식 플라이트 트레이닝 서비스,,RMN,Grounded
Clay Lacy Aviation,클레이레이스항공,,CLY,Active
Click Airways,클릭에어웨이,C4,CGK,Grounded
Click Airways International Llc,클릭에어웨이인터내셔널,,CGK,Grounded
Clickair (Calima Aviacion - Catair Lineas Aereas S.A.),클릭에어 ( 칼리마 항공 - 까떼어 린하스 아레하스),XG,CLI,Grounded
Cloud 9 Air Charters,클라우드나인에어챠터,,CLZ,Grounded
Clowes Estates Ltd,클러위즈 에스테이트,,CLD,Grounded
Club 328 Ltd,클럽 328,,SDJ,Grounded
Club Aero Vigo,크럽 에어로 비고,,VIJ,Grounded
Club Air S.P.A.,클럽 에어 S.P.A.,6P,ISG,Grounded
CM Airlines,CM 항공,CC,OMT,Active
CM Airlines,CM 에어라인,CC,,Active
"CM Stair, Compagnie Mauritanienne Des Services Et Transport Aerien",시엠스테어,,CMZ,Grounded
Cmc Electronics Inc.,CMC 일렉트로닉스,,CMC,Grounded
Coapa Air,코아파 에어,,OAP,Grounded
Coast Air As,코스트에어,BX,CST,Grounded
Coastal Air,코스탈에어,DQ,TCL,Grounded
Coastal Air,코스탈에어,,CXT,Active
Coastal Air Transport,코스탈 에어트랜스포트,DQ,,Grounded
Coastal Airways,코스탈 에어웨이,,CNG,Grounded
Coastal Aviation,코스탈에비에이션,CQ,CSV,Active
Cobalt Air,코발트에어,CO,FCB,Grounded
Cobham Aviation Services,코브함 항공 서비스,NC,JTE,Grounded
Cobham Aviation Services,코브함 항공 서비스,,QJE,Active
Cohlmia Aviation,코흘미아 에비에이션,,CHL,Grounded
Coin Air Charter,코인 에어챠터,,SRE,Grounded
Colaereos,콜라에로스,,OLR,Grounded
Colemill Enterprises,코울밀 엔터프라이즈,,CLE,Grounded
Colgan Air,콜건 에어,9L,CJC,Grounded
Colombe Airlines,콜롬베 에어라인,,CBL,Grounded
Colombe Airlines,콜롬베 항공,,CBL,Active
Colorful Guizhou Airlines ,두어차이구이저우항공,GY,CGZ,Active
Colt International,콜트 인터내셔널,,CCX,Grounded
Columba Air D.O.O.,콜룸바 에어,,COL,Grounded
Columbia Helicopters,컬럼비아 헬리콥터,,WCO,Grounded
Columbus Air Transport,콜럼버스 에어트랜스포트,,KLR,Grounded
Columbus Avia,콜롬버스아비아항공,,CBS,Active
Colvin Aviation,콜빈 에비에이션,,GHP,Grounded
Comair,콤에어,OH,COM,Grounded
Comair (South Africa),콤에어(사우스아프리카),MN,CAW,Active
Comav (Pty) Ltd Windhoek,코마브빈트후크,,PDR,Grounded
Comed Group,코메드 그룹,,CDE,Grounded
Comercial Aerea,코머셜 아레아,,CRS,Grounded
Comercial De Aviacion C.A. (Comeravia),커머시알 데 아비악시옹 (코메라비아),,CVV,Grounded
Comercializacion De Aviation Ejecutiva,코메셜라시옹 데 아비이온 익제큐디바,,CVJ,Grounded
Comet Airlines Limited,코멧항공,,CMG,Grounded
Comfort Servicios Aereos.,컴포트 서비스 에어로,,FRS,Grounded
Comlux (Malta) Ltd,콤럭스 항공,,MLM,Grounded
Comlux Aviation Ag,콤룩스 에비에이션,,CLA,Grounded
Comlux-Kz Jsc,콤룩스,,KAZ,Grounded
Commair Aviation Limited,콤에어 항공,,CMH,Grounded
Commandement Du Transport Aerien Militaire Francais,프랑스군수송지휘본부,,CTM,Grounded
Commander Air Charter Limited,커맨더 에어챠터,,CML,Grounded
"Commander Flugdienst Gmbh, Hamburg",커맨더 플라이트 서비스 함부르크,,HRL,Grounded
Commander Mexicana,코만데 멕시카나,,CRM,Grounded
Commercial Aviation,커머셜 에비에이션,,CMS,Grounded
Commodore Aviation,코모도어항공,,GAR,Grounded
Commonwealth Jet Service,커먼웰스 제트 서비스,,CJS,Grounded
Commutair,커뮤트에어 ,C5,UCA,Active
Comores Aviation,코모어스항공,O5,KMZ,Active
Compagnia Generale Ripreseaeree Spa,제너랄 리프레사에리,,CGR,Grounded
Compagnie Africaine dAviation CAA,아프리카항공,BU,,Active
Compagnie Air Mali International,에어말리인터내셔널,,KLB,Grounded
Compagnie de Bauxites de Guinee,기니복시테스,,GIC,Grounded
Compagnie Mauritanienne Des Transports,모리타니아운송주식회사,,CPM,Grounded
Compagnie Nationale Air Gabon,에어가봉,GN,AGN,Grounded
Compagnie Nationale Naganagani,내셔널나가나가니,,BFN,Grounded
Compania Aerea De Valencia,발렌시아 항공주식회사,,AIF,Grounded
Compania Aerotecnicas Fotograficas,포토그래프 항공,,ATF,Grounded
Compania Boliviana de Transporte Aereo Privado Aerosur S.A.,콤파니아 볼리비아나 데 트랜스포테 아레오 프리바오 아에로수르,5L,ASU,Grounded
"Compania De Servicios Aereos , S.A. (Saesa)",Saesa,,SSS,Grounded
Compania de Servicios Aereos Tavisa,타비사 에어서비스,,TAV,Grounded
"Compania Dominicana De Aviacion , S.A.",콩파냐 도미니카나 데 아비악시옹,,DOA,Grounded
Compania Ecuatoriana De Transportes Aereos ,콩파냐 에콰토리아나 데 아에로트랜스포트,,CED,Grounded
Compania Ejecutiva,콩파냐 이제큐티바,,EJV,Grounded
"Compania Helicopteros De Transporte , S.A.",콤파냐 헬리콥토스 데 트랜스포테,,HSO,Grounded
"Compania Helicopteros Del Sureste , S.A.",콤파냐 헬리콥토스 델 쉬레스트,UV,HSE,Grounded
